"Deck Composition (Suit1, Suit2, Suit3, Suit4)",Hand Suit 1,Hand Suit 2,Hand Suit 3,Hand Suit 4
"(10, 12, 10, 8)",4,2,1,3
"(10, 12, 10, 8)",4,2,2,2
"(10, 12, 10, 8)",4,2,3,1
"(10, 12, 10, 8)",4,2,4,0
"(10, 12, 10, 8)",4,3,0,3
"(10, 12, 10, 8)",4,3,1,2
"(10, 12, 10, 8)",4,3,2,1
"(10, 12, 10, 8)",4,3,3,0
"(10, 12, 10, 8)",4,4,0,2
"(10, 12, 10, 8)",4,4,1,1
"(10, 12, 10, 8)",4,4,2,0
"(10, 12, 10, 8)",4,5,0,1
"(10, 12, 10, 8)",4,5,1,0
"(10, 12, 10, 8)",4,6,0,0
"(10, 12, 10, 8)",5,0,0,5
"(10, 12, 10, 8)",5,0,1,4
"(10, 12, 10, 8)",5,0,2,3
"(10, 12, 10, 8)",5,0,3,2
"(10, 12, 10, 8)",5,0,4,1
"(10, 12, 10, 8)",5,0,5,0
"(10, 12, 10, 8)",5,1,0,4
"(10, 12, 10, 8)",5,1,1,3
"(10, 12, 10, 8)",5,1,2,2
"(10, 12, 10, 8)",5,1,3,1
"(10, 12, 10, 8)",5,1,4,0
"(10, 12, 10, 8)",5,2,0,3
"(10, 12, 10, 8)",5,2,1,2
"(10, 12, 10, 8)",5,2,2,1
"(10, 12, 10, 8)",5,2,3,0
"(10, 12, 10, 8)",5,3,0,2
"(10, 12, 10, 8)",5,3,1,1
"(10, 12, 10, 8)",5,3,2,0
"(10, 12, 10, 8)",5,4,0,1
"(10, 12, 10, 8)",5,4,1,0
"(10, 12, 10, 8)",5,5,0,0
"(10, 12, 10, 8)",6,0,0,4
"(10, 12, 10, 8)",6,0,1,3
"(10, 12, 10, 8)",6,0,2,2
"(10, 12, 10, 8)",6,0,3,1
"(10, 12, 10, 8)",6,0,4,0
"(10, 12, 10, 8)",6,1,0,3
"(10, 12, 10, 8)",6,1,1,2
"(10, 12, 10, 8)",6,1,2,1
"(10, 12, 10, 8)",6,1,3,0
"(10, 12, 10, 8)",6,2,0,2
"(10, 12, 10, 8)",6,2,1,1
"(10, 12, 10, 8)",6,2,2,0
"(10, 12, 10, 8)",6,3,0,1
"(10, 12, 10, 8)",6,3,1,0
"(10, 12, 10, 8)",6,4,0,0
"(10, 12, 10, 8)",7,0,0,3
"(10, 12, 10, 8)",7,0,1,2
"(10, 12, 10, 8)",7,0,2,1
"(10, 12, 10, 8)",7,0,3,0
"(10, 12, 10, 8)",7,1,0,2
"(10, 12, 10, 8)",7,1,1,1
"(10, 12, 10, 8)",7,1,2,0
"(10, 12, 10, 8)",7,2,0,1
"(10, 12, 10, 8)",7,2,1,0
"(10, 12, 10, 8)",7,3,0,0
"(10, 12, 10, 8)",8,0,0,2
"(10, 12, 10, 8)",8,0,1,1
"(10, 12, 10, 8)",8,0,2,0
"(10, 12, 10, 8)",8,1,0,1
"(10, 12, 10, 8)",8,1,1,0
"(10, 12, 10, 8)",8,2,0,0
"(10, 12, 10, 8)",9,0,0,1
"(10, 12, 10, 8)",9,0,1,0
"(10, 12, 10, 8)",9,1,0,0
"(10, 12, 10, 8)",10,0,0,0
